ASSOCIATED SITE,LEG ID,UNIT CONSUMPTION,READING FOR
Luhari-WHTM,1692,20.177,2020-01-30 00:00:00
Hasanpur WHTM,1685,50.59795,2020-01-30 00:00:00
"Aerocity, New Delhi",1848,2463.208,2020-01-30 00:00:00
Kapashera-WHTM-2,1501,332.856,2020-01-30 00:00:00
Kapashera-WHTM-5,1502,249.408,2020-01-30 00:00:00
Luhari-WHTM,1691,1065.112,2020-01-30 00:00:00
Hasanpur WHTM,1686,357.873,2020-01-30 00:00:00
Kapashera-WHTM-2,1694,0.02162,2020-01-29 00:00:00
Luhari-WHTM,1693,44.98825,2020-01-29 00:00:00
Luhari-WHTM,1691,2294.896,2020-01-29 00:00:00
Luhari-WHTM,1692,109.7565,2020-01-29 00:00:00
Hasanpur WHTM,1686,360.78,2020-01-29 00:00:00
Kapashera-WHTM-2,1501,322.784,2020-01-29 00:00:00
"Aerocity, New Delhi",1848,2436.944,2020-01-29 00:00:00
Kapashera-WHTM-5,1502,245.696,2020-01-29 00:00:00
Hasanpur WHTM,1685,60.06806,2020-01-29 00:00:00
Kapashera-WHTM-2,1694,4.18561,2020-01-28 00:00:00
Kapashera-WHTM-5,1696,2.415,2020-01-28 00:00:00
Hasanpur WHTM,1685,139.00655,2020-01-28 00:00:00
Luhari-WHTM,1691,208.304,2020-01-28 00:00:00
"Aerocity, New Delhi",1848,2432.416,2020-01-28 00:00:00
Kapashera-WHTM-5,1502,242.712,2020-01-28 00:00:00
Hasanpur WHTM,1686,575.047,2020-01-28 00:00:00
Kapashera-WHTM-2,1501,322.632,2020-01-28 00:00:00
Hasanpur WHTM,1685,2.82757,2020-01-27 00:00:00
Luhari-WHTM,1692,140.307,2020-01-27 00:00:00
Kapashera-WHTM-5,1696,9.9005,2020-01-27 00:00:00
Kapashera-WHTM-2,1694,19.22384,2020-01-27 00:00:00
Luhari-WHTM,1691,836.72,2020-01-27 00:00:00
Kapashera-WHTM-2,1501,317.952,2020-01-27 00:00:00
Hasanpur WHTM,1686,699.236,2020-01-27 00:00:00
"Aerocity, New Delhi",1848,2294.28,2020-01-27 00:00:00
Kapashera-WHTM-5,1502,283.064,2020-01-27 00:00:00
Luhari-WHTM,1693,0.001,2020-01-26 00:00:00
Luhari-WHTM,1692,36.1595,2020-01-26 00:00:00
Luhari-WHTM,1691,761.44,2020-01-26 00:00:00
Hasanpur WHTM,1686,660.274,2020-01-26 00:00:00
"Aerocity, New Delhi",1848,2370.088,2020-01-26 00:00:00
Kapashera-WHTM-5,1502,279.92,2020-01-26 00:00:00
Kapashera-WHTM-2,1501,338.192,2020-01-26 00:00:00
Kapashera-WHTM-5,1696,0.09775,2020-01-25 00:00:00
Kapashera-WHTM-2,1694,0.2065,2020-01-25 00:00:00
Luhari-WHTM,1692,84.44175,2020-01-25 00:00:00
Hasanpur WHTM,1685,27.20043,2020-01-25 00:00:00
Kapashera-WHTM-2,1501,358.056,2020-01-25 00:00:00
Hasanpur WHTM,1686,678.049,2020-01-25 00:00:00
"Aerocity, New Delhi",1848,2633.848,2020-01-25 00:00:00
Kapashera-WHTM-5,1502,209.352,2020-01-25 00:00:00
Luhari-WHTM,1691,1050.188,2020-01-25 00:00:00
Kapashera-WHTM-2,1694,15.28322,2020-01-24 00:00:00
Kapashera-WHTM-5,1696,14.609,2020-01-24 00:00:00
Hasanpur WHTM,1686,820.776,2020-01-24 00:00:00
Hasanpur WHTM,1685,243.67196,2020-01-24 00:00:00
Kapashera-WHTM-2,1501,314.064,2020-01-24 00:00:00
Kapashera-WHTM-5,1502,242.984,2020-01-24 00:00:00
"Aerocity, New Delhi",1848,2644.04,2020-01-24 00:00:00
Luhari-WHTM,1691,1070.76,2020-01-24 00:00:00
Kapashera-WHTM-2,1694,5.19175,2020-01-23 00:00:00
Kapashera-WHTM-5,1696,5.3565,2020-01-23 00:00:00
Luhari-WHTM,1692,11.82075,2020-01-23 00:00:00
Luhari-WHTM,1693,2.70525,2020-01-23 00:00:00
Luhari-WHTM,1691,1125.028,2020-01-23 00:00:00
Kapashera-WHTM-2,1501,343.424,2020-01-23 00:00:00
"Aerocity, New Delhi",1848,2611.152,2020-01-23 00:00:00
Hasanpur WHTM,1686,332.213,2020-01-23 00:00:00
Kapashera-WHTM-5,1502,229.944,2020-01-23 00:00:00
Kapashera-WHTM-5,1696,27.8197,2020-01-22 00:00:00
Kapashera-WHTM-2,1694,40.32085,2020-01-22 00:00:00
Hasanpur WHTM,1685,41.30926,2020-01-22 00:00:00
Luhari-WHTM,1693,59.0285,2020-01-22 00:00:00
Hasanpur WHTM,1686,664.0495,2020-01-22 00:00:00
Kapashera-WHTM-2,1501,279.48,2020-01-22 00:00:00
"Aerocity, New Delhi",1848,2809.12,2020-01-22 00:00:00
Kapashera-WHTM-5,1502,183.872,2020-01-22 00:00:00
Luhari-WHTM,1691,1127.092,2020-01-22 00:00:00
Luhari-WHTM,1693,22.50275,2020-01-21 00:00:00
Kapashera-WHTM-2,1694,4.76482,2020-01-21 00:00:00
Kapashera-WHTM-5,1696,4.57273,2020-01-21 00:00:00
Hasanpur WHTM,1685,66.59403,2020-01-21 00:00:00
Hasanpur WHTM,1686,620.1395,2020-01-21 00:00:00
Kapashera-WHTM-5,1502,248.488,2020-01-21 00:00:00
Luhari-WHTM,1691,1189.476,2020-01-21 00:00:00
Kapashera-WHTM-2,1501,328.792,2020-01-21 00:00:00
"Aerocity, New Delhi",1848,2592.528,2020-01-21 00:00:00
Kapashera-WHTM-2,1694,10.67186,2020-01-20 00:00:00
Kapashera-WHTM-5,1696,8.96172,2020-01-20 00:00:00
Hasanpur WHTM,1685,16.90031,2020-01-20 00:00:00
Luhari-WHTM,1693,49.33875,2020-01-20 00:00:00
"Aerocity, New Delhi",1848,2749.2,2020-01-20 00:00:00
Hasanpur WHTM,1686,499.006,2020-01-20 00:00:00
Kapashera-WHTM-5,1502,223.256,2020-01-20 00:00:00
Luhari-WHTM,1691,936.548,2020-01-20 00:00:00
Kapashera-WHTM-2,1501,314.52,2020-01-20 00:00:00
Kapashera-WHTM-5,1696,1.04788,2020-01-19 00:00:00
Kapashera-WHTM-2,1694,1.41733,2020-01-19 00:00:00
Hasanpur WHTM,1685,46.50469,2020-01-19 00:00:00
Luhari-WHTM,1693,10.43025,2020-01-19 00:00:00
Luhari-WHTM,1692,18.24775,2020-01-19 00:00:00
"Aerocity, New Delhi",1848,2722.648,2020-01-19 00:00:00
Kapashera-WHTM-5,1502,215.504,2020-01-19 00:00:00
Luhari-WHTM,1691,1078.344,2020-01-19 00:00:00
Kapashera-WHTM-2,1501,349.96,2020-01-19 00:00:00
Hasanpur WHTM,1686,361.356,2020-01-19 00:00:00
Hasanpur WHTM,1685,25.81542,2020-01-18 00:00:00
Kapashera-WHTM-5,1696,0.34361,2020-01-18 00:00:00
Luhari-WHTM,1692,9.5645,2020-01-18 00:00:00
"Aerocity, New Delhi",1848,2649.512,2020-01-18 00:00:00
Luhari-WHTM,1691,1284.528,2020-01-18 00:00:00
Hasanpur WHTM,1686,689.723,2020-01-18 00:00:00
Kapashera-WHTM-2,1501,322.008,2020-01-18 00:00:00
Kapashera-WHTM-5,1502,221.784,2020-01-18 00:00:00
Hasanpur WHTM,1685,79.96382,2020-01-17 00:00:00
Luhari-WHTM,1692,55.588,2020-01-17 00:00:00
Kapashera-WHTM-5,1696,0.18599,2020-01-17 00:00:00
"Aerocity, New Delhi",1848,2697.072,2020-01-17 00:00:00
Luhari-WHTM,1691,1146.624,2020-01-17 00:00:00
Kapashera-WHTM-2,1501,329.392,2020-01-17 00:00:00
Kapashera-WHTM-5,1502,318.712,2020-01-17 00:00:00
Hasanpur WHTM,1686,611.3995,2020-01-17 00:00:00
Hasanpur WHTM,1685,49.27826,2020-01-16 00:00:00
"Aerocity, New Delhi",1848,2768.096,2020-01-16 00:00:00
Luhari-WHTM,1692,47.8475,2020-01-16 00:00:00
Kapashera-WHTM-2,1694,7.89319,2020-01-16 00:00:00
Kapashera-WHTM-5,1696,5.53474,2020-01-16 00:00:00
Luhari-WHTM,1691,1123.716,2020-01-16 00:00:00
Hasanpur WHTM,1686,612.324,2020-01-16 00:00:00
Kapashera-WHTM-2,1501,299.824,2020-01-16 00:00:00
Kapashera-WHTM-5,1502,229.936,2020-01-16 00:00:00
Kapashera-WHTM-2,1694,0.91468,2020-01-15 00:00:00
Kapashera-WHTM-5,1696,1.39017,2020-01-15 00:00:00
Hasanpur WHTM,1685,76.56648,2020-01-15 00:00:00
Luhari-WHTM,1692,8.191,2020-01-15 00:00:00
Kapashera-WHTM-2,1501,297.688,2020-01-15 00:00:00
"Aerocity, New Delhi",1848,2654.704,2020-01-15 00:00:00
Luhari-WHTM,1691,1043.2,2020-01-15 00:00:00
Kapashera-WHTM-5,1502,249.808,2020-01-15 00:00:00
Hasanpur WHTM,1686,504.8155,2020-01-15 00:00:00
Hasanpur WHTM,1685,18.52255,2020-01-14 00:00:00
Kapashera-WHTM-2,1694,1.02473,2020-01-14 00:00:00
Kapashera-WHTM-5,1696,2.85738,2020-01-14 00:00:00
Hasanpur WHTM,1686,295.0645,2020-01-14 00:00:00
"Aerocity, New Delhi",1848,2660.192,2020-01-14 00:00:00
Luhari-WHTM,1691,1157.408,2020-01-14 00:00:00
Kapashera-WHTM-2,1501,314.824,2020-01-14 00:00:00
Kapashera-WHTM-5,1502,281.216,2020-01-14 00:00:00
Hasanpur WHTM,1685,11.58003,2020-01-13 00:00:00
Luhari-WHTM,1692,15.618,2020-01-13 00:00:00
"Aerocity, New Delhi",1848,2504.08,2020-01-13 00:00:00
Kapashera-WHTM-5,1502,224.352,2020-01-13 00:00:00
Kapashera-WHTM-2,1501,239.568,2020-01-13 00:00:00
Hasanpur WHTM,1686,276.34025,2020-01-13 00:00:00
Luhari-WHTM,1691,1074.556,2020-01-13 00:00:00
Luhari-WHTM,1692,50.50275,2020-01-12 00:00:00
Luhari-WHTM,1691,1359.976,2020-01-12 00:00:00
Hasanpur WHTM,1685,8.53135,2020-01-12 00:00:00
Kapashera-WHTM-5,1696,35.40303,2020-01-12 00:00:00
Kapashera-WHTM-2,1694,45.02385,2020-01-12 00:00:00
"Aerocity, New Delhi",1848,2521.208,2020-01-12 00:00:00
Kapashera-WHTM-2,1501,281.12,2020-01-12 00:00:00
Kapashera-WHTM-5,1502,188.96,2020-01-12 00:00:00
Hasanpur WHTM,1686,606.04042,2020-01-12 00:00:00
Hasanpur WHTM,1685,14,2020-01-11 00:00:00
Luhari-WHTM,1692,15.0845,2020-01-11 00:00:00
Kapashera-WHTM-5,1696,0.38285,2020-01-11 00:00:00
Luhari-WHTM,1693,8.8135,2020-01-11 00:00:00
Luhari-WHTM,1691,918.592,2020-01-11 00:00:00
Kapashera-WHTM-2,1501,299.16,2020-01-11 00:00:00
Kapashera-WHTM-5,1502,203.496,2020-01-11 00:00:00
"Aerocity, New Delhi",1848,2669.91,2020-01-11 00:00:00
Hasanpur WHTM,1686,521.53362,2020-01-11 00:00:00
Hasanpur WHTM,1686,223.962,2020-01-10 00:00:00
Kapashera-WHTM-2,1694,8.95468,2020-01-10 00:00:00
Kapashera-WHTM-5,1696,31.76692,2020-01-10 00:00:00
Luhari-WHTM,1693,90.3615,2020-01-10 00:00:00
Luhari-WHTM,1691,1193.04,2020-01-10 00:00:00
Kapashera-WHTM-5,1502,152.448,2020-01-10 00:00:00
"Aerocity, New Delhi",1848,2790.104,2020-01-10 00:00:00
Kapashera-WHTM-2,1501,322.408,2020-01-10 00:00:00
Luhari-WHTM,1693,29.85325,2020-01-09 00:00:00
Hasanpur WHTM,1686,200.37637,2020-01-09 00:00:00
Kapashera-WHTM-5,1696,35.91799,2020-01-09 00:00:00
Kapashera-WHTM-2,1694,49.59384,2020-01-09 00:00:00
Kapashera-WHTM-5,1502,161.704,2020-01-09 00:00:00
"Aerocity, New Delhi",1848,2777.332,2020-01-09 00:00:00
Kapashera-WHTM-2,1501,292.344,2020-01-09 00:00:00
Luhari-WHTM,1691,1161.888,2020-01-09 00:00:00
Hasanpur WHTM,1685,0.50587,2020-01-08 00:00:00
Luhari-WHTM,1692,175.18025,2020-01-08 00:00:00
Kapashera-WHTM-5,1696,35.73798,2020-01-08 00:00:00
Kapashera-WHTM-2,1694,39.62919,2020-01-08 00:00:00
Luhari-WHTM,1693,20.44325,2020-01-08 00:00:00
Kapashera-WHTM-5,1502,299.752,2020-01-08 00:00:00
Kapashera-WHTM-2,1501,286.04,2020-01-08 00:00:00
"Aerocity, New Delhi",1848,2631.54,2020-01-08 00:00:00
Hasanpur WHTM,1686,60.73675,2020-01-08 00:00:00
Luhari-WHTM,1691,1222.3,2020-01-08 00:00:00
Kapashera-WHTM-5,1696,6.1565,2020-01-07 00:00:00
Kapashera-WHTM-2,1694,3.49737,2020-01-07 00:00:00
Luhari-WHTM,1693,3.42175,2020-01-07 00:00:00
Hasanpur WHTM,1685,3.70541,2020-01-07 00:00:00
Kapashera-WHTM-5,1502,261.24,2020-01-07 00:00:00
Luhari-WHTM,1691,1286.896,2020-01-07 00:00:00
Kapashera-WHTM-2,1501,309.072,2020-01-07 00:00:00
"Aerocity, New Delhi",1848,2454.068,2020-01-07 00:00:00
Hasanpur WHTM,1686,113.90975,2020-01-07 00:00:00
Hasanpur WHTM,1685,3.21571,2020-01-06 00:00:00
Luhari-WHTM,1693,107.5535,2020-01-06 00:00:00
Kapashera-WHTM-2,1501,303.152,2020-01-06 00:00:00
Hasanpur WHTM,1686,114.798,2020-01-06 00:00:00
Kapashera-WHTM-5,1502,282.512,2020-01-06 00:00:00
Luhari-WHTM,1691,1056.196,2020-01-06 00:00:00
"Aerocity, New Delhi",1848,2374.296,2020-01-06 00:00:00
Luhari-WHTM,1693,8.729,2020-01-05 00:00:00
Hasanpur WHTM,1685,0.06034,2020-01-05 00:00:00
Kapashera-WHTM-5,1696,2.46304,2020-01-05 00:00:00
Kapashera-WHTM-2,1694,3.08174,2020-01-05 00:00:00
Luhari-WHTM,1692,30.41475,2020-01-05 00:00:00
Luhari-WHTM,1691,948.172,2020-01-05 00:00:00
Hasanpur WHTM,1686,115.413,2020-01-05 00:00:00
Kapashera-WHTM-5,1502,297.792,2020-01-05 00:00:00
"Aerocity, New Delhi",1848,2508.816,2020-01-05 00:00:00
Kapashera-WHTM-2,1501,288.328,2020-01-05 00:00:00
Luhari-WHTM,1693,5.136,2020-01-04 00:00:00
Luhari-WHTM,1692,65.75425,2020-01-04 00:00:00
"Aerocity, New Delhi",1848,2456.113,2020-01-04 00:00:00
Hasanpur WHTM,1685,8.14542,2020-01-04 00:00:00
"Aerocity, New Delhi",1849,0,2020-01-04 00:00:00
Hasanpur WHTM,1686,111.93175,2020-01-04 00:00:00
Luhari-WHTM,1691,799.628,2020-01-04 00:00:00
Kapashera-WHTM-2,1501,262.248,2020-01-04 00:00:00
Kapashera-WHTM-5,1502,272.264,2020-01-04 00:00:00
"Aerocity, New Delhi",1849,0,2020-01-03 00:00:00
Hasanpur WHTM,1685,3.22962,2020-01-03 00:00:00
Kapashera-WHTM-5,1696,3.17314,2020-01-03 00:00:00
Kapashera-WHTM-2,1694,0.45814,2020-01-03 00:00:00
Luhari-WHTM,1693,14.44075,2020-01-03 00:00:00
Luhari-WHTM,1692,20.145,2020-01-03 00:00:00
Luhari-WHTM,1691,784.456,2020-01-03 00:00:00
Kapashera-WHTM-2,1501,241.848,2020-01-03 00:00:00
Kapashera-WHTM-5,1502,222.16,2020-01-03 00:00:00
Hasanpur WHTM,1686,107.629,2020-01-03 00:00:00
"Aerocity, New Delhi",1848,2373.06,2020-01-03 00:00:00
Luhari-WHTM,1692,11.113,2020-01-02 00:00:00
Hasanpur WHTM,1685,23.68448,2020-01-02 00:00:00
"Aerocity, New Delhi",1848,2594.652,2020-01-02 00:00:00
Luhari-WHTM,1691,740.888,2020-01-02 00:00:00
Hasanpur WHTM,1686,89.8535,2020-01-02 00:00:00
Kapashera-WHTM-5,1502,273.248,2020-01-02 00:00:00
Kapashera-WHTM-2,1501,247.944,2020-01-02 00:00:00
Hasanpur WHTM,1685,8.85148,2020-01-01 00:00:00
Kapashera-WHTM-5,1696,0.35538,2020-01-01 00:00:00
Kapashera-WHTM-2,1694,0.65688,2020-01-01 00:00:00
Luhari-WHTM,1693,5.8915,2020-01-01 00:00:00
Kapashera-WHTM-2,1501,251.272,2020-01-01 00:00:00
Hasanpur WHTM,1686,106.76425,2020-01-01 00:00:00
Luhari-WHTM,1691,762.3,2020-01-01 00:00:00
Kapashera-WHTM-5,1502,262.032,2020-01-01 00:00:00
"Aerocity, New Delhi",1848,2878.7,2020-01-01 00:00:00
Luhari-WHTM,1693,56.004,2019-12-31 00:00:00
Luhari-WHTM,1692,48.15375,2019-12-31 00:00:00
Kapashera-WHTM-2,1694,0.11812,2019-12-31 00:00:00
Kapashera-WHTM-5,1696,0.09938,2019-12-31 00:00:00
Hasanpur WHTM,1685,5.47698,2019-12-31 00:00:00
"Aerocity, New Delhi",1848,3075.876,2019-12-31 00:00:00
Kapashera-WHTM-2,1501,252.04,2019-12-31 00:00:00
Hasanpur WHTM,1686,109.286,2019-12-31 00:00:00
Kapashera-WHTM-5,1502,262.584,2019-12-31 00:00:00
Luhari-WHTM,1691,972.316,2019-12-31 00:00:00
Luhari-WHTM,1692,9.23075,2019-12-30 00:00:00
Kapashera-WHTM-2,1694,0.00212,2019-12-30 00:00:00
Kapashera-WHTM-5,1696,1.55288,2019-12-30 00:00:00
Luhari-WHTM,1693,24.46,2019-12-30 00:00:00
Hasanpur WHTM,1685,2.02022,2019-12-30 00:00:00
Hasanpur WHTM,1686,115.43725,2019-12-30 00:00:00
"Aerocity, New Delhi",1848,3012.372,2019-12-30 00:00:00
Kapashera-WHTM-5,1502,251.36,2019-12-30 00:00:00
Luhari-WHTM,1691,868.106,2019-12-30 00:00:00
Kapashera-WHTM-2,1501,263.176,2019-12-30 00:00:00
Luhari-WHTM,1693,20.05925,2019-12-29 00:00:00
Kapashera-WHTM-5,1696,0.38461,2019-12-29 00:00:00
Kapashera-WHTM-2,1694,6.4662,2019-12-29 00:00:00
Hasanpur WHTM,1685,3.06223,2019-12-29 00:00:00
Luhari-WHTM,1691,936.292,2019-12-29 00:00:00
Kapashera-WHTM-5,1502,234.76,2019-12-29 00:00:00
Kapashera-WHTM-2,1501,274.472,2019-12-29 00:00:00
Hasanpur WHTM,1686,113.48575,2019-12-29 00:00:00
"Aerocity, New Delhi",1848,2925.896,2019-12-29 00:00:00
Luhari-WHTM,1692,218.94925,2019-12-28 00:00:00
Luhari-WHTM,1693,45.35675,2019-12-28 00:00:00
Hasanpur WHTM,1686,102.32575,2019-12-28 00:00:00
"Aerocity, New Delhi",1848,3036.126,2019-12-28 00:00:00
Luhari-WHTM,1691,957.29,2019-12-28 00:00:00
Kapashera-WHTM-2,1501,262.392,2019-12-28 00:00:00
Kapashera-WHTM-5,1502,199.736,2019-12-28 00:00:00
Hasanpur WHTM,1685,17.04763,2019-12-28 00:00:00
Hasanpur WHTM,1685,34.18877,2019-12-27 00:00:00
Luhari-WHTM,1693,352.32825,2019-12-27 00:00:00
Luhari-WHTM,1691,978.192,2019-12-27 00:00:00
Kapashera-WHTM-2,1501,267.624,2019-12-27 00:00:00
"Aerocity, New Delhi",1848,2923.254,2019-12-27 00:00:00
Hasanpur WHTM,1686,86.229,2019-12-27 00:00:00
Kapashera-WHTM-5,1502,219.624,2019-12-27 00:00:00
Luhari-WHTM,1693,420.649,2019-12-26 00:00:00
Kapashera-WHTM-5,1696,0.67087,2019-12-26 00:00:00
"Aerocity, New Delhi",1848,1247.778,2019-12-26 00:00:00
Hasanpur WHTM,1685,15.30929,2019-12-26 00:00:00
Luhari-WHTM,1691,703.08,2019-12-26 00:00:00
Hasanpur WHTM,1686,103.91825,2019-12-26 00:00:00
Kapashera-WHTM-2,1501,279.28,2019-12-26 00:00:00
Kapashera-WHTM-5,1502,213.784,2019-12-26 00:00:00
Kapashera-WHTM-2,1694,0.12438,2019-12-25 00:00:00
Kapashera-WHTM-5,1696,0.06112,2019-12-25 00:00:00
Luhari-WHTM,1691,500.882,2019-12-25 00:00:00
Luhari-WHTM,1692,578.60625,2019-12-25 00:00:00
Hasanpur WHTM,1685,20.76833,2019-12-25 00:00:00
Kapashera-WHTM-5,1502,227.968,2019-12-25 00:00:00
Hasanpur WHTM,1686,89.72575,2019-12-25 00:00:00
Luhari-WHTM,1693,245.916,2019-12-25 00:00:00
Kapashera-WHTM-2,1501,277.704,2019-12-25 00:00:00
Kapashera-WHTM-5,1696,33.66721,2019-12-24 00:00:00
Kapashera-WHTM-2,1694,35.72959,2019-12-24 00:00:00
Hasanpur WHTM,1685,15.14789,2019-12-24 00:00:00
Luhari-WHTM,1693,743.34633,2019-12-24 00:00:00
Hasanpur WHTM,1686,104.90525,2019-12-24 00:00:00
Kapashera-WHTM-5,1502,197.648,2019-12-24 00:00:00
Luhari-WHTM,1691,747.75,2019-12-24 00:00:00
Kapashera-WHTM-2,1501,248.088,2019-12-24 00:00:00
Luhari-WHTM,1693,161.9665,2019-12-23 00:00:00
Hasanpur WHTM,1685,7.87172,2019-12-23 00:00:00
Hasanpur WHTM,1686,89.53925,2019-12-23 00:00:00
Kapashera-WHTM-5,1502,202.808,2019-12-23 00:00:00
Kapashera-WHTM-2,1501,232.52,2019-12-23 00:00:00
Luhari-WHTM,1691,899.592,2019-12-23 00:00:00
Luhari-WHTM,1693,153.58735,2019-12-22 00:00:00
Hasanpur WHTM,1685,6.72725,2019-12-22 00:00:00
Luhari-WHTM,1692,175.21675,2019-12-22 00:00:00
Luhari-WHTM,1691,887.382,2019-12-22 00:00:00
Kapashera-WHTM-2,1501,264.472,2019-12-22 00:00:00
Hasanpur WHTM,1686,115.84075,2019-12-22 00:00:00
Kapashera-WHTM-5,1502,222.616,2019-12-22 00:00:00
Hasanpur WHTM,1685,0.81908,2019-12-21 00:00:00
Luhari-WHTM,1691,1130.884,2019-12-21 00:00:00
Kapashera-WHTM-5,1502,221.576,2019-12-21 00:00:00
Hasanpur WHTM,1686,122.3685,2019-12-21 00:00:00
Kapashera-WHTM-2,1501,279.168,2019-12-21 00:00:00
Luhari-WHTM,1692,153.961,2019-12-21 00:00:00
Luhari-WHTM,1692,75.80351,2019-12-20 00:00:00
Kapashera-WHTM-2,1694,4.42236,2019-12-20 00:00:00
Kapashera-WHTM-5,1696,5.44279,2019-12-20 00:00:00
Hasanpur WHTM,1685,5.99868,2019-12-20 00:00:00
Luhari-WHTM,1693,166.04509,2019-12-20 00:00:00
Luhari-WHTM,1691,1086.284,2019-12-20 00:00:00
Hasanpur WHTM,1686,114.87132,2019-12-20 00:00:00
Kapashera-WHTM-2,1501,268.632,2019-12-20 00:00:00
Kapashera-WHTM-5,1502,224.312,2019-12-20 00:00:00
Hasanpur WHTM,1685,10.10511,2019-12-19 00:00:00
Luhari-WHTM,1693,126.15469,2019-12-19 00:00:00
Kapashera-WHTM-5,1696,9.02623,2019-12-19 00:00:00
Kapashera-WHTM-2,1694,9.19943,2019-12-19 00:00:00
Luhari-WHTM,1692,33.28117,2019-12-19 00:00:00
Kapashera-WHTM-2,1501,260.888,2019-12-19 00:00:00
Luhari-WHTM,1691,1051.56,2019-12-19 00:00:00
Kapashera-WHTM-5,1502,217.36,2019-12-19 00:00:00
Hasanpur WHTM,1686,107.0618,2019-12-19 00:00:00
Luhari-WHTM,1692,68.01029,2019-12-18 00:00:00
Kapashera-WHTM-5,1696,2.66015,2019-12-18 00:00:00
Kapashera-WHTM-2,1694,4.25951,2019-12-18 00:00:00
Hasanpur WHTM,1686,43.24844,2019-12-18 00:00:00
Kapashera-WHTM-2,1501,95,2019-12-18 00:00:00
Kapashera-WHTM-5,1502,69.48,2019-12-18 00:00:00
Luhari-WHTM,1691,399.148,2019-12-18 00:00:00
Luhari-WHTM,1692,119.51527,2019-12-17 00:00:00
Hasanpur WHTM,1685,6.58812,2019-12-17 00:00:00
Kapashera-WHTM-2,1694,0.44124,2019-12-17 00:00:00
Kapashera-WHTM-5,1696,0.7216,2019-12-17 00:00:00
Hasanpur WHTM,1686,89.34664,2019-12-17 00:00:00
Kapashera-WHTM-2,1501,185.848,2019-12-17 00:00:00
Kapashera-WHTM-5,1502,174.64,2019-12-17 00:00:00
Luhari-WHTM,1691,683.082,2019-12-17 00:00:00
Hasanpur WHTM,1685,1.08614,2019-12-16 00:00:00
Luhari-WHTM,1692,8.03437,2019-12-16 00:00:00
Kapashera-WHTM-2,1501,259.288,2019-12-16 00:00:00
Kapashera-WHTM-5,1502,281.248,2019-12-16 00:00:00
Hasanpur WHTM,1686,131.98611,2019-12-16 00:00:00
Luhari-WHTM,1691,1076.78,2019-12-16 00:00:00
Hasanpur WHTM,1685,2.52501,2019-12-15 00:00:00
Luhari-WHTM,1693,15.19148,2019-12-15 00:00:00
Kapashera-WHTM-5,1502,308.152,2019-12-15 00:00:00
Hasanpur WHTM,1686,129.61376,2019-12-15 00:00:00
Kapashera-WHTM-2,1501,256.296,2019-12-15 00:00:00
Luhari-WHTM,1691,1005.434,2019-12-15 00:00:00
Kapashera-WHTM-5,1696,0.61138,2019-12-14 00:00:00
Luhari-WHTM,1693,27.68662,2019-12-14 00:00:00
Hasanpur WHTM,1685,5.54778,2019-12-14 00:00:00
Kapashera-WHTM-2,1501,264.288,2019-12-14 00:00:00
Kapashera-WHTM-5,1502,364.152,2019-12-14 00:00:00
Luhari-WHTM,1691,1046.35,2019-12-14 00:00:00
Kapashera-WHTM-2,1694,1.4954,2019-12-14 00:00:00
Hasanpur WHTM,1686,124.32953,2019-12-14 00:00:00
Luhari-WHTM,1693,238.01954,2019-12-13 00:00:00
Hasanpur WHTM,1686,67.52196,2019-12-13 00:00:00
Kapashera-WHTM-2,1501,207.32,2019-12-13 00:00:00
Kapashera-WHTM-5,1502,251.008,2019-12-13 00:00:00
Luhari-WHTM,1692,574.26663,2019-12-13 00:00:00
Luhari-WHTM,1691,616.06,2019-12-13 00:00:00
Hasanpur WHTM,1685,69.9152,2019-12-13 00:00:00
Kapashera-WHTM-5,1696,73.27785,2019-12-13 00:00:00
Kapashera-WHTM-2,1694,75.32881,2019-12-13 00:00:00
Luhari-WHTM,1692,386.5116,2019-12-12 00:00:00
Kapashera-WHTM-2,1694,54.45743,2019-12-12 00:00:00
Kapashera-WHTM-5,1696,53.57731,2019-12-12 00:00:00
Luhari-WHTM,1693,71.42375,2019-12-12 00:00:00
Hasanpur WHTM,1685,43.12961,2019-12-12 00:00:00
Hasanpur WHTM,1686,90.80476,2019-12-12 00:00:00
Kapashera-WHTM-2,1501,209.048,2019-12-12 00:00:00
Kapashera-WHTM-5,1502,233.76,2019-12-12 00:00:00
Luhari-WHTM,1691,923.426,2019-12-12 00:00:00
Luhari-WHTM,1692,12.46622,2019-12-11 00:00:00
Hasanpur WHTM,1685,5.42634,2019-12-11 00:00:00
Luhari-WHTM,1691,1172.543,2019-12-11 00:00:00
Kapashera-WHTM-2,1501,269.344,2019-12-11 00:00:00
Kapashera-WHTM-5,1502,309.904,2019-12-11 00:00:00
Hasanpur WHTM,1686,128.30389,2019-12-11 00:00:00
Luhari-WHTM,1692,56.34476,2019-12-10 00:00:00
Hasanpur WHTM,1685,10.07017,2019-12-10 00:00:00
Hasanpur WHTM,1686,120.7207,2019-12-10 00:00:00
Kapashera-WHTM-2,1501,260.912,2019-12-10 00:00:00
Kapashera-WHTM-5,1502,287.392,2019-12-10 00:00:00
Luhari-WHTM,1691,1061.093,2019-12-10 00:00:00
Kapashera-WHTM-2,1694,0.20037,2019-12-09 00:00:00
Hasanpur WHTM,1685,20.98944,2019-12-09 00:00:00
Luhari-WHTM,1692,114.1036,2019-12-09 00:00:00
